area_id,area_name
1,Москва
72,Пермь
3,Екатеринбург
2,Санкт-Петербург
1002,Минск
26,Воронеж
88,Казань
193,Уральск
41,Калининград
104,Челябинск
1399,Магнитогорск
115,Киев
47,Кемерово
135,Харьков
160,Алматы
17,Белгород
2077,Химки
68,Омск
4,Новосибирск
66,Нижний Новгород
1319,Березники
117,Днепр (Днепропетровск)
159,Астана
56,Курск
112,Ярославль
77,Рязань
2098,Электросталь
177,Караганда
90,Томск
2041,Мытищи
76,Ростов-на-Дону
2039,Люберцы
154,Актобе
58,Липецк
25,Вологда
247,Дзержинск (Нижегородская область)
35,Иркутск
87,Тамбов
23,Владимир
1498,Пятигорск
2088,Зеленоград
2734,Иннополис
52,Кострома
1635,Зеленодольск (Республика Татарстан)
54,Красноярск
1374,Нефтеюганск
2760,Бишкек
92,Тула
89,Тверь
84,Ставрополь
98,Ульяновск
95,Тюмень
49,Киров
1365,Туймазы
102,Хабаровск
1594,Сызрань
79,Саратов
20,Улан-Удэ
99,Уфа
53,Краснодар
1006,Гродно
1813,Ростов (Ярославская область)
2759,Ташкент
1550,Таганрог
32,Иваново (Ивановская область)
237,Сочи
78,Самара
75,Псков
2086,Дубна
2315,Жодино
64,Мурманск
22,Владивосток
11,Барнаул
1950,Артем
1003,Гомель
81,Южно-Сахалинск
96,Ижевск
2492,Баку
2093,Лыткарино
1627,Альметьевск
1442,Армавир
130,Севастополь
212,Тольятти
83,Смоленск
1007,Брест
63,Саранск
153,Атырау
1850,Лиски
69,Орел
2034,Красногорск
127,Одесса
107,Чебоксары
2662,Рамонь
43,Калуга
180,Петропавловск
61,Йошкар-Ола
2069,Сергиев Посад
15,Астрахань
12,Благовещенск (Амурская область)
1163,Назарово
1633,Елабуга
181,Павлодар
19,Брянск
2264,Орша
2075,Ступино
1412,Южноуральск
2781,Бухара
1240,Новокузнецк
1420,Ноябрьск
106,Чита
24,Волгоград
1005,Витебск
248,Арзамас
55,Курган
2328,Солигорск
1427,Дербент
2052,Кубинка
70,Оренбург
131,Симферополь
1636,Лаишево
236,Кипр
1419,Новый Уренгой
164,Балхаш
1753,Череповец
3662,Южный (Краснодарский край)
2025,Домодедово
1291,Нижний Тагил
100,Финляндия
1720,Гусь-Хрустальный
71,Пенза
67,Великий Новгород
74,Польша
73,Петрозаводск
1204,Бердск
14,Архангельск
5545,Сабетта (Ямало-Ненецкий АО)
1964,Корсаков
1376,Нягань
1641,Набережные Челны
1381,Сургут
1851,Нововоронеж
2020,Балашиха
29,Махачкала
2101,Кривой Рог
2082,Фрязино
137,Хмельницкий
1189,Саяногорск
2323,Молодечно
2758,Тбилиси
2078,Чехов
51,Сыктывкар
2087,Железнодорожный
2090,Королев
46,Черкесск
1552,Шахты
1375,Нижневартовск
129,Ровно
2120,Ялта
1882,Железногорск (Курская область)
2061,Подольск (Московская область)
1545,Новочеркасск
301,Обнинск
1126,Ангарск
2334,Бобруйск
1360,Нефтекамск
1814,Рыбинск
60,Магадан
1040,Черняховск
1512,Волжский
118,Донецк (Украина)
2073,Серпухов
1266,Березовский (Свердловская область)
1724,Ковров
2314,Дзержинск (Беларусь)
132,Сумы
1571,Орск
2525,Цхинвал
2026,Егорьевск
1615,Барыш
2083,Щелково
1345,Тобольск
1260,Стрежевой
103,Абакан
1924,Новомосковск (Тульская область)
133,Тернополь
1795,Конаково
2032,Клин
10,Горно-Алтайск
116,Винница
1361,Октябрьский (Республика Башкортостан)
1540,Каменск-Шахтинский
1437,Назрань
27,Германия
2065,Раменское
1930,Щекино
1483,Буденновск
172,Костанай
1454,Новороссийск
44,Петропавловск-Камчатский
1493,Михайловск (Ставропольский край)
1986,Нарьян-Мар
42,Элиста
1492,Минеральные Воды
1130,Братск
1070,Мончегорск
1860,Балабаново
