name,level,profstandard_id
Младший программист,3,14
Техник-программист,3,14
Программист,4,14
Старший программист,5,14
Инженер-программист,5,14
Ведущий программист,6,14
Ведущий инженер-программист,6,14
Оператор почтовой связи III класса,2,22
Оператор почтовой связи II класса,3,22
Оператор почтовой связи I класса,4,22
Начальник отделения почтовой связи,5,22
Архитектор программного обеспечения (далее - ПО),4,17
Архитектор ПО,4,17
Старший архитектор ПО ,4,17
Инженер,4,17
Младший тестировщик,4,18
Тестировщик ,5,18
Инженер-тестировщик,5,18
Тест-дизайнер ,6,18
Ведущий тестировщик ,6,18
Старший инженер-тестировщик,6,18
Инженер-радиоэлектронщик ,6,15
Инженер-радиоэлектронщик II категории,6,15
Инженер-радиоэлектронщик I категории,7,15
Ведущий инженер-радиоэлектронщик,8,15
Специалист по эксплуатации коммутационной подсистемы и сетевых платформ ,6,23
Специалист развития коммутационной подсистемы и сетевых платформ,6,23
Специалист по эксплуатации сетей радиодоступа ,6,23
Специалист развития сетей радиодоступа,6,23
Специалист по эксплуатации транспортных сетей и сетей передачи данных ,6,23
"Специалист развития транспортных сетей и сетей передачи данных, включая спутниковые системы",6,23
Инженер-проектировщик систем связи ,6,20
Инженер-проектировщик телекоммуникационных систем,6,20
Инженер-проектировщик систем подвижной радиосвязи ,6,20
Инженер по проектированию сетей подвижной радиосвязи ,6,20
"Инженер-проектировщик (сети, узлы связи подвижной радиосвязи)",6,20
Инженер-проектировщик в области связи и телекоммуникаций,6,20
"Ответственный секретарь, выпускающий, арт-директор",7,24
"Ответственный секретарь, выпускающий",7,24
Инженер технической поддержки,6,25
Ведущий инженер технической поддержки,7,25
Младший администратор БД,4,1
Младший специалист,4,1
Младший системный администратор,4,1
Администратор БД,5,1
Системный администратор,5,1
Специалист,5,1
Младший эксперт,5,1
Старший администратор БД,5,1
Старший инженер,5,1
Старший специалист,5,1
Эксперт,6,1
Старший системный администратор,6,1
Главный администратор БД,7,1
Главный системный администратор,7,1
Главный специалист,7,1
Ведущий эксперт,7,1
Ведущий инженер,7,1
Младший менеджер продукта ,4,3
Ассистент менеджера продукта,4,3
Менеджер продукта ,5,3
Менеджер по развитию продукта,5,3
Старший менеджер продуктов ,6,3
Старший менеджер по развитию продуктов ,6,3
Ведущий менеджер продуктов ,6,3
Ведущий менеджер по развитию продуктов ,6,3
Менеджер линейки продуктов,6,3
Руководитель портфеля продуктов ,7,3
Руководитель отдела продуктов ,7,3
Директор по продуктам,7,3
Публикатор ,4,16
Оператор ввода ,4,16
Наборщик текста,4,16
Веб-писатель,5,16
Контент-менеджер ,6,16
Менеджер информационных ресурсов,6,16
Начальник вычислительного центра ,6,4
Руководитель отдела управления инфраструктурой ,6,4
Руководитель отдела программного обеспечения ,6,4
Руководитель группы управления базами данных,6,4
Заведующий отделом поддержки пользователей ,7,4
Менеджер центра обслуживания пользователей ИТ ,7,4
Директор службы заказчика,7,4
Директор по ИТ ,8,4
Директор департамента ИТ ,8,4
Заместитель генерального директора по ИТ ,8,4
Начальник службы информатизации,8,4
Директор по информационным технологиям и инновациям ,9,4
Заместитель генерального директора по инновациям ,9,4
Заместитель генерального директора по развитию,9,4
Технический специалист по ИС,4,2
Кодировщик ИС,4,2
Техник сервисной службы по ИС,4,2
Специалист по внедрению ИС,5,2
Программист ИС,5,2
Консультант по ИС,5,2
Сервис-инженер по ИС,5,2
Ведущий специалист но внедрению ИС,6,2
Программист-проектировщик ИС,6,2
Ведущий консультант по ИС,6,2
Бизнес-аналитик,6,2
Руководитель сервисной службы по ИС,6,2
Руководитель группы (отдела) внедрения ИС,7,2
Руководитель группы (отдела) сопровождения ИС,7,2
Помощник руководителя проектов,6,5
Руководитель проектов,6,5
Ведущий руководитель проектов,7,5
Руководитель проектов и программ проектов,8,5
Руководитель комплексных проектов,8,5
Руководитель группы разработки ,6,6
Начальник отдела разработки,6,6
Инженер связи (телекоммуникаций),6,26
Ведущий инженер связи (телекоммуникаций),7,26
Технический писатель-стажер (специалист по технической документации в ИТ-стажер),4,7
Младший технический писатель (младший специалист по технической документации в ИТ),4,7
Оформитель технической документации,4,7
Технический писатель (специалист по технической документации в ИТ),5,7
Разработчик технический документации,5,7
Старший технический писатель (специалист по технической документации в ИТ),6,7
Старший разработчик технический документации ,6,7
Копирайтер,6,7
Инженер ,6,7
Старший (ведущий) технический писатель (специалист по технической документации в ИТ),6,7
Руководитель группы разработки технической документации,6,7
Инженер по документированию ,7,7
Начальник отдела технической документации,7,7
Начальник подразделения технической коммуникации,8,7
Кабельщик-спайщик третьего разряда,2,27
Кабельщик-спайщик четвертого разряда,2,27
Кабельщик-спайщик пятого разряда,2,27
Кабельщик-спайщик шестого разряда,3,27
