text,level,id
Среднее профессиональное образование,3,1
Повышение квалификации,3,2
Высшее образование,5,3
Основные программы профессионального обучения - программы профессиональной подготовки по профессии рабочих в области почтовой связи,2,4
"Основные программы профессионального обучения - программы профессиональной подготовки по профессиям рабочих, должностям служащих в области почтовой связи",4,5
Среднее профессиональное образование ,5,6
Дополнительные профессиональные программы - программы профессиональной переподготовки в области почтовой связи,5,7
"Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки в области почтовой связи",5,8
Высшее образование - программы бакалавриата,4,9
Высшее образование - программы магистратуры,6,10
Среднее профессиональное образование - программы подготовки квалифицированных рабочих (служащих),4,11
Высшее образование - бакалавриат,5,12
"Высшее образование - специалитет, магистратура",6,13
Высшее образование - программы бакалавриата ,6,14
Среднее профессиональное образование - программы подготовки специалистов среднего звена ,6,15
Дополнительное профессиональное образование - программы повышения квалификации,6,16
"Высшее образование - программы специалитета, магистратуры ",7,17
Высшее образование - программы подготовки научно-педагогических кадров в аспирантуре ,8,18
Среднее профессиональное образование - программы подготовки специалистов среднего звена,4,19
"Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки",4,20
Высшее профессиональное образование - бакалавриат,6,21
"Высшее профессиональное образование - специалитет, магистратура",7,22
"Высшее образование - специалитет, магистратура ",6,23
"Рекомендуется повышение квалификации по программам управления персоналом, управления бюджетом, управления ИТ, управления ресурсами (компонентами) ИТ",6,24
"Рекомендуется повышение квалификации по программам сервисного подхода к управлению ИТ, методикам обслуживания пользователей",7,25
"Рекомендуется повышение квалификации по программам управления ИТ, управления информацией, экономики и менеджмента",8,26
Рекомендуется второе высшее образование в области экономики и/или стратегического менеджмента ,9,27
"Рекомендуется повышение квалификации по программам стратегического управления, инновационной деятельности",9,28
"Повышение квалификации по программам обучения, рекомендованным производителем ИС",4,29
Повышение квалификации в области проектного менеджмента,6,30
"Высшее образование - специалитет, магистратура Повышение квалификации в области проектного менеджмента",7,31
"Повышение квалификации в области общего менеджмента, управления финансами, управления персоналом",8,32
В исключительных случаях - бакалавриат и дополнительное профессиональное образование,7,33
"Высшее образование - специалист, магистратура ",7,34
"Среднее профессиональное образование - программы подготовки квалифицированных рабочих, служащих",4,35
Среднее общее образование ,2,36
"Программы переподготовки рабочих, служащих",2,37
"Профессиональное обучение - программы профессиональной подготовки по профессиям рабочих, должностям служащих ",3,38
"Программы переподготовки рабочих, служащих ",3,39
"Программы повышения квалификации рабочих, служащих",3,40
"Профессиональное обучение - программы профессиональной подготовки по профессиям рабочих, должностям служащих, программы переподготовки рабочих, служащих, программы повышения квалификации рабочих, служащих.",3,41
"Профессионально обучение - программы профессиональной подготовки по профессиям рабочих, должностям служащих, программы переподготовки рабочих, служащих, программы повышения квалификации рабочих, служащих",4,42
"Профессиональное обучение - программы профессиональной подготовки по профессиям рабочих, должностям служащих, программы переподготовки рабочих, служащих, программы повышения квалификации рабочих, служащих и (или) среднее профессиональное образование - программы подготовки квалифицированных рабочих, служащих, программы профессиональной переподготовки",5,43
"Профессиональное обучение - профессиональная подготовка по профессиям рабочих, должностям служащих, переподготовка рабочих, служащих, повышение квалификации рабочих, служащих и (или) среднее профессиональное образование, подготовка квалифицированных рабочих, служащих, подготовка специалистов среднего звена",6,44
"Среднее профессиональное образование - программы подготовки квалифицированных рабочих (служащих) Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки",3,45
Среднее профессиональное образование по программам подготовки квалифицированных рабочих,4,46
"Основные программы профессионального обучения - программы профессиональной подготовки по должностям служащих, программы переподготовки служащих, программы повышения квалификации служащих (до одного года)",3,47
или,6,48
"Дополнительное профессиональное образование - программы повышения квалификации, программы профессиональной переподготовки в области маркетинга, менеджмента, экономики, новых инфокоммуникационных систем и/или их составляющих",6,49
"Дополнительное профессиональное образование - программы повышения квалификации, программы профессиональной переподготовки в области компьютерных и телекоммуникационных технологий",7,50
"Дополнительное профессиональное образование - программы повышения квалификации, программы профессиональной переподготовки в области полиграфии или графического дизайна, информационных технологий",6,51
"Дополнительное профессиональное образование - программы повышения квалификации, программы профессиональной переподготовки в области психологии труда, инженерной психологии, эргономики, информационных технологий",6,52
"Дополнительное профессиональное образование - программы повышения квалификации, программы профессиональной переподготовки в области психологии труда (деятельности), эргономики, информационных технологий",6,53
