id,code,name,general_function_id,qualification_level
1,A/01.3,Формализация и алгоритмизация поставленных задач,1,3
2,A/02.3,"Написание программного кода с использованием языков программирования, определения и манипулирования данными",1,3
3,A/03.3,Оформление программного кода в соответствии с установленными требованиями,1,3
4,A/04.3,Работа с системой контроля версий,1,3
5,A/05.3,Проверка и отладка программного кода,1,3
6,B/01.4,Разработка процедур проверки работоспособности и измерения характеристик программного обеспечения,2,4
7,B/02.4,Разработка тестовых наборов данных,2,4
8,B/03.4,Проверка работоспособности программного обеспечения,2,4
9,B/04.4,Рефакторинг и оптимизация программного кода,2,4
10,B/04.5,"Исправление дефектов, зафиксированных в базе данных дефектов",2,4
11,C/01.5,Разработка процедур интеграции программных модулей,3,5
12,C/02.5,Осуществление интеграции программных модулей и компонент и верификации выпусков программного продукта,3,5
13,D/01.6,Анализ требований к программному обеспечению,4,6
14,D/02.6,Разработка технических спецификаций на программные компоненты и их взаимодействие,4,6
15,D/03.6,Проектирование программного обеспечения,4,6
16,A/01.2,Прием и вручение внутренних и международных почтовых отправлений,5,2
17,A/02.2,"Обработка, сортировка и отправка почтовых отправлений",5,2
18,A/03.2,Распространение периодических печатных изданий,5,2
19,B/01.3,"Прием, передача, обработка и выдача в доставку телеграмм и телеграфных уведомлений",6,3
20,B/02.3,Предоставление универсальных услуг связи в пунктах коллективного доступа,6,3
21,B/03.3,Подготовка ежедневных отчетов о работе отделения связи,6,3
22,C/01.3,"Реализация товаров народного потребления, знаков почтовой оплаты и оказание филателистических услуг",7,3
23,C/02.3,Прием уведомления о прибытии иностранного гражданина или лица без гражданства на территорию Российской Федерации,7,3
24,D/01.4,Осуществление переводов денежных средств,8,4
25,D/02.4,"Выплата пенсий, пособий и других целевых выплат",8,4
26,D/03.4,Прием платежей за коммунальные и другие услуги,8,4
27,D/04.4,Предоставление почтово-банковских услуг,8,4
28,D/05.4,Открытие и обслуживание депозитов и кредитов,8,4
29,E/01.5,Учет движения денежных средств в отделении почтовой связи,9,5
30,E/02.5,Учет и контроль кассовых операций при использовании контрольно-кассовой техники,9,5
31,F/01.5,"Контроль приема, обработки и выдачи почтовых отправлений",10,5
