id,code,profstandard_id,name,qualification_level
1,A,14,Разработка и отладка программного кода,3
2,B,14,Проверка работоспособности и рефакторинг кода программного обеспечения,4
3,C,14,Интеграция программных модулей и компонент и верификация выпусков программного продукта,5
4,D,14,Разработка требований и проектирование программного обеспечения,6
5,A,22,Предоставление почтовых услуг,2
6,B,22,Предоставление услуг связи,3
7,C,22,Предоставление непочтовых услуг,3
8,D,22,Предоставление почтово-банковских услуг,4
9,E,22,Выполнение и документальное оформление кассовых операций в организациях почтовой связи,5
10,F,22,Управление отделением почтовой связи,5
11,A,17,Создание вариантов архитектуры программного средства,4
12,B,17,Документирование архитектуры программных средств,4
13,C,17,Реализация программных средств,4
14,D,17,Оценка требований к программному средству,5
15,E,17,Оценка и выбор варианта архитектуры программного средства,5
16,F,17,Контроль реализации программного средства,5
17,G,17,Контроль сопровождения программных средств,5
18,H,17,Оценка возможности создания архитектурного проекта,6
19,I,17,Утверждение и контроль методов и способов взаимодействия программного средства со своим окружением,6
20,K,17,Модернизация программного средства и его окружения,6
21,A,18,Подготовка тестовых данных и выполнение тестовых процедур,4
22,B,18,"Разработка тестовых случаев, проведение тестирования и исследование результатов",5
23,C,18,Разработка документов для тестирования и анализ качества покрытия,6
24,D,18,Разработка стратегии тестирования и управление процессом тестирования,6
25,A,15,"Производство, внедрение и эксплуатация радиоэлектронных средств и радиоэлектронных систем различного назначения",6
26,B,15,Разработка и проектирование радиоэлектронных средств и радиоэлектронных систем различного назначения,7
27,C,15,Проведение исследований в целях совершенствования радиоэлектронных средств и радиоэлектронных систем различного назначения,8
28,A,23,Эксплуатация и развитие коммутационных подсистем и сетевых платформ,6
29,B,23,Эксплуатация и развитие сетей радиодоступа,6
30,C,23,"Эксплуатация и развитие транспортных сетей и сетей передачи данных, включая спутниковые системы",6
31,A,20,"Проектирование объектов и систем связи, телекоммуникационных систем",6
32,B,20,Проектирование систем подвижной радиосвязи,6
33,A,24,Предметная реализация требований к художественно-техническому оформлению сетевого издания/сайта информационного агентства,7
34,B,24,Организация и контроль выпуска продукции сетевого издания/информационного агентства,7
35,A,25,"Сбор, распределение и контроль выполнения заявок на техподдержку",6
36,B,25,Мониторинг состояния сети и координация устранения неисправностей,6
37,C,25,"Установка, настройка и обслуживание программного обеспечения телекоммуникационного оборудования",7
38,D,25,Выполнение работ по обеспечению функционирования телекоммуникационного оборудования корпоративных сетей,7
39,A,1,Обеспечение функционирования БД,4
40,B,1,Оптимизация функционирования БД,5
41,C,1,Предотвращение потерь и повреждений данных,5
42,D,1,Обеспечение информационной безопасности на уровне БД,6
43,E,1,Управление развитием БД,7
44,A,3,Сопровождение развития существующего продукта,4
45,B,3,Управление продуктом,5
46,C,3,Управление серией продуктов и группой их менеджеров,6
47,D,3,Управление портфелем продуктов и подразделением управления продуктами,7
48,A,16,Техническая обработка и размещение информационных ресурсов на сайте,4
49,B,16,Создание и редактирование информационных ресурсов,5
50,C,16,Управление (менеджмент) информационными ресурсами,6
51,A,4,Управление ресурсами ИТ,6
52,B,4,Управление сервисами ИТ,7
53,C,4,Управление информационной средой,8
54,D,4,Управление ИТ-инновациями,9
55,A,2,"Техническая поддержка процессов создания (модификации) и сопровождения ИС, автоматизирующих задачи организационного управления и бизнес-процессы",4
56,B,2,"Выполнение работ по созданию (модификации) и сопровождению ИС, автоматизирующих задачи организационного управления и бизнес-процессы",5
57,C,2,"Выполнение работ и управление работами по созданию (модификации) и сопровождению ИС, автоматизирующих задачи организационного управления и бизнес-процессы",6
58,D,2,"Управление работами по сопровождению и проектами создания (модификации) ИС, автоматизирующих задачи организационного управления и бизнес-процессы",7
59,A,5,"Управление проектами в области ИТ на основе полученных, планов проектов в условиях, когда проект не выходит за пределы утвержденных параметров",6
60,B,5,"Управление проектами в области ИТ малого и среднего уровня сложности в условиях неопределенностей, порождаемых запросами на изменения, с применением формальных инструментов управления рисками и проблемами проекта",7
