id,function_id,text,part_type_id
1,1,Младший программист,1
2,1,Техник-программист,1
3,2,Младший программист,1
4,2,Техник-программист,1
5,3,Младший программист,1
6,3,Техник-программист,1
7,4,Младший программист,1
8,4,Техник-программист,1
9,5,Младший программист,1
10,5,Техник-программист,1
11,6,Программист,1
12,7,Программист,1
13,8,Программист,1
14,9,Программист,1
15,10,Программист,1
16,11,Старший программист,1
17,11,Инженер-программист,1
18,12,Старший программист,1
19,12,Инженер-программист,1
20,13,Ведущий программист,1
21,13,Ведущий инженер-программист,1
22,14,Ведущий программист,1
23,14,Ведущий инженер-программист,1
24,15,Ведущий программист,1
25,15,Ведущий инженер-программист,1
26,1,Среднее профессиональное образование,2
27,1,Повышение квалификации,2
28,2,Среднее профессиональное образование,2
29,2,Повышение квалификации,2
30,3,Среднее профессиональное образование,2
31,3,Повышение квалификации,2
32,4,Среднее профессиональное образование,2
33,4,Повышение квалификации,2
34,5,Среднее профессиональное образование,2
35,5,Повышение квалификации,2
36,6,Среднее профессиональное образование,2
37,6,Повышение квалификации,2
38,7,Среднее профессиональное образование,2
39,7,Повышение квалификации,2
40,8,Среднее профессиональное образование,2
41,8,Повышение квалификации,2
42,9,Среднее профессиональное образование,2
43,9,Повышение квалификации,2
44,10,Среднее профессиональное образование,2
45,10,Повышение квалификации,2
46,11,Высшее образование,2
47,11,Повышение квалификации,2
48,12,Высшее образование,2
49,12,Повышение квалификации,2
50,13,Высшее образование,2
51,13,Повышение квалификации,2
52,14,Высшее образование,2
53,14,Повышение квалификации,2
54,15,Высшее образование,2
55,15,Повышение квалификации,2
56,1,-,3
57,2,-,3
58,3,-,3
59,4,-,3
60,5,-,3
61,6,Практическая работа в области разработки программного обеспечения не менее 6 месяцев,3
62,7,Практическая работа в области разработки программного обеспечения не менее 6 месяцев,3
63,8,Практическая работа в области разработки программного обеспечения не менее 6 месяцев,3
64,9,Практическая работа в области разработки программного обеспечения не менее 6 месяцев,3
65,10,Практическая работа в области разработки программного обеспечения не менее 6 месяцев,3
66,11,Практическая работа в области разработки программного обеспечения не менее 1 года,3
67,12,Практическая работа в области разработки программного обеспечения не менее 1 года,3
68,13,Практическая работа в области разработки программного обеспечения не менее 3 лет,3
69,14,Практическая работа в области разработки программного обеспечения не менее 3 лет,3
70,15,Практическая работа в области разработки программного обеспечения не менее 3 лет,3
