,idx_vacancies,labels,name,prof_code,prof_name,prof_text,prof_type,sc,vac_text,vector_sim
240,16302.0,14.0,Java-разработчик,6.001,Программист,Разработка требований и проектирование программного обеспечения Проектирование программного обеспечения Принципы построения архитектуры программного обеспечения и виды архитектуры программного обеспечения,knowledge,0.04244296520858392,Построение процесса continuous integration/continuous delivery;,TfIdf
150,16302.0,14.0,Java-разработчик,6.001,Программист,"Проверка работоспособности и рефакторинг кода программного обеспечения Разработка тестовых наборов данных Подготовка наборов данных, используемых в процессе проверки работоспособности программного обеспечения",skills,0.026375253460334973,Построение процесса continuous integration/continuous delivery;,TfIdf
0,16302.0,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Формализация и алгоритмизация поставленных задач Младший программист,posts,0.0,Построение процесса continuous integration/continuous delivery;,TfIdf
168,16302.0,14.0,Java-разработчик,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Осуществление интеграции программных модулей и компонент и верификации выпусков программного продукта Выявлять соответствие требований заказчиков с существующими продуктами,skills,0.0,Построение процесса continuous integration/continuous delivery;,TfIdf
156,16302.0,14.0,Java-разработчик,6.001,Программист,Проверка работоспособности и рефакторинг кода программного обеспечения Рефакторинг и оптимизация программного кода Применять инструментальные средства коллективной работы над программным кодом,skills,0.0,Построение процесса continuous integration/continuous delivery;,TfIdf
222,24184.0,14.0,Программист,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Интерфейсы взаимодействия внутренних модулей системы,knowledge,0.2224567418286505,Разрабатывать/внедрять новые модули на основании ТЗ;,TfIdf
220,24184.0,14.0,Программист,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Методы и средства сборки модулей и компонент программного обеспечения,knowledge,0.20100164215732075,Разрабатывать/внедрять новые модули на основании ТЗ;,TfIdf
105,24184.0,14.0,Программист,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Разработка процедур сборки модулей и компонент программного обеспечения,activities,0.19268473356934004,Разрабатывать/внедрять новые модули на основании ТЗ;,TfIdf
162,24184.0,14.0,Программист,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Использовать выбранную среду программирования для разработки процедур интеграции программных модулей,skills,0.17977827510530012,Разрабатывать/внедрять новые модули на основании ТЗ;,TfIdf
161,24184.0,14.0,Программист,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Писать программный код процедур интеграции программных модулей,skills,0.1786236054875178,Разрабатывать/внедрять новые модули на основании ТЗ;,TfIdf
58,13619.0,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий -,requirements_for_practical_experience,0.06949875180561989,Опыт работы с СУБД (SQL).,TfIdf
7,13619.0,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Техник-программист,posts,0.05823861430229991,Опыт работы с СУБД (SQL).,TfIdf
32,13619.0,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Повышение квалификации,education_and_training_requirements,0.057529143069977653,Опыт работы с СУБД (SQL).,TfIdf
6,13619.0,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Младший программист,posts,0.055250011029939816,Опыт работы с СУБД (SQL).,TfIdf
31,13619.0,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Среднее профессиональное образование,education_and_training_requirements,0.05442749619921798,Опыт работы с СУБД (SQL).,TfIdf
234,11843.0,14.0,Программист С++,6.001,Программист,Разработка требований и проектирование программного обеспечения Анализ требований к программному обеспечению Методологии и технологии проектирования и использования баз данных,knowledge,0.0359574377356945,"Знание технологий WinAPI, включая DLL, Windows Services, COM, WinSock, SQL, Terminal Services;",TfIdf
233,11843.0,14.0,Программист С++,6.001,Программист,Разработка требований и проектирование программного обеспечения Анализ требований к программному обеспечению Методологии разработки программного обеспечения и технологии программирования,knowledge,0.0328886930027116,"Знание технологий WinAPI, включая DLL, Windows Services, COM, WinSock, SQL, Terminal Services;",TfIdf
