id,vacancy_id,text,type_id
1,22003685,"Установка, настройка программного обеспечения;",1
2,22003685,"Работа с периферийными устройствами (профилактика, обслуживание);",1
3,22003685,Прокладка компьютерных сетей;,1
4,22003685,Администрирование серверной системы;,1
5,22003685,Диагностика неисправностей ИС.,1
6,22003685,"Регламентные работы (обновление ПО, контроль состояния систем);",1
7,22003685,Установка прав доступа и контроль использование сетевых ресурсов;,1
8,22003685,"Обеспечение своевременного копирования, архивирования и резервирования данных.",1
9,22003685,"Обеспечение сетевую защиты от несанкционированного доступа к информации, просмотрам или изменениям системных файлов и данных, безопасности межсетевого взаимодействия.",1
10,22003685,"Осуществление антивирусной защиты сервера, сети и рабочих станций.",1
11,22003685,"Стаж работы в должности системного администратора, IT специалиста от 3-х лет;",2
12,22003685,Высшее техническое профильное образование;,2
13,22003685,"Обязательное знание Windows Server, Windows XP/7/8, основы TCP IP, DNS, настройка принтеров и МФУ;",2
14,22003685,"Уровень владения ПК: администратор ПК, базовые знания офисных программ (MS Office, архиваторы, средства просмотра изображений и иных документов);",2
15,22003685,"Знание механизмов работы сетей (адресация, маршрутизация, стек протоколов, сетевые топологии);",2
16,22003685,Навыки диагностики и мелкого ремонта техники;,2
17,22003685,Технический английский язык;,2
18,22004984,Организация и обеспечение бесперебойного функционирования оборудования опорной сети;,1
19,22004984,Мониторинг текущего оборудования состояния технических средств опорной сети с целью предотвращения сбоев;,1
20,22004984,"Участие в работе отдела по установке, монтажу, демонтажу технических средств на технологических площадках компании;",1
21,22004984,"Ведение отчетности по подключению, тестированию, приемке в эксплуатацию оборудования опорной сети;",1
22,22004984,Проведение реконфигурационных и ремонтно-восстановительных работ.,1
23,22004984,Образование Высшее,2
24,22004984,Знание языков Русский-Свободное владение,2
25,22004984,Знание компьютера Эксперт,2
26,22004984,Дополнительные требования  Сетевые технологии LAN/WAN;,2
27,22004984,Модель OSI/ISO;,2
28,22004984,Протоколы маршрутизации и коммутации;,2
29,22004984,"Технологии QOS, VPN, VRF, VLAN;",2
30,22004984,Сетевое оборудование ПД и сопутствующую вычислительную технику;,2
31,22004984,Квалификация: минимум CCNA Cisco;,2
32,22004984,"Навыки поиска и устранения неисправностей на IP сети Опыт конфигурирования сетевого оборудования Cisco (маршрутизаторы, коммутаторы, точки безопасности).",2
33,22004984,Сетевые технологии LAN/WAN;,2
34,22004984,Модель OSI/ISO;,2
35,22004984,Протоколы маршрутизации и коммутации;,2
36,22004984,"Технологии QOS, VPN, VRF, VLAN;",2
37,22004984,Сетевое оборудование ПД и сопутствующую вычислительную технику;,2
38,22004984,Квалификация: минимум CCNA Cisco;,2
39,22004984,Навыки поиска и устранения неисправностей на IP сети,2
40,22004984,"Опыт конфигурирования сетевого оборудования Cisco (маршрутизаторы, коммутаторы, точки безопасности).",2
41,22006102,уметь читать/понимать код на Java + начальные навыки в других языках,2
42,22006102,теория и методы тестирования;,2
43,22006102,знание этапов жизненного цикла ПО;,2
44,22006102,теория построения реляционных баз данных;,2
45,22006102,"принципы работы баг-трекинговых систем - Jazz, ALM, Jira и подобных;",2
46,22006102,основные методы тест-дизайна;,2
47,22006102,"жизненный цикл дефекта, принципы работы с дефектами;",2
48,22006102,"принципы построения архитектуры многомодульных систем, rest api и soap api.2",2
49,22006102,знание основ архитектуры баз данных;,2
50,22006102,основы xml;,2
51,22006102,основы SQL;,2
52,22006102,основы программирования на Java.,2
53,22006845,Доработка функционала существующих проектов ,1
54,22006845, Поддержка существующих проектов,1
55,22006845,Понимание принципов ООП,2
56,22006845,Уверенное владение PHP 5.4+,2
57,22006845,"Опыт использования curl, хотя бы минимальный опыт написания парсеров",2
58,22006845,Опыт разработки на Yii (v1).,2
