,id_matching,id_profstandard_part,id_vacancy,id_vacancy_part,labels,name,prof_code,prof_name,prof_text,prof_type,sc,vac_text,vector_sim
240,0,240,24310970.0,16302,14.0,Java-разработчик,6.001,Программист,Разработка требований и проектирование программного обеспечения Проектирование программного обеспечения Принципы построения архитектуры программного обеспечения и виды архитектуры программного обеспечения,knowledge,0.04244296520858392,Построение процесса continuous integration/continuous delivery;,TfIdf
150,0,150,24310970.0,16302,14.0,Java-разработчик,6.001,Программист,"Проверка работоспособности и рефакторинг кода программного обеспечения Разработка тестовых наборов данных Подготовка наборов данных, используемых в процессе проверки работоспособности программного обеспечения",skills,0.026375253460334973,Построение процесса continuous integration/continuous delivery;,TfIdf
0,0,0,24310970.0,16302,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Формализация и алгоритмизация поставленных задач Младший программист,posts,0.0,Построение процесса continuous integration/continuous delivery;,TfIdf
168,0,168,24310970.0,16302,14.0,Java-разработчик,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Осуществление интеграции программных модулей и компонент и верификации выпусков программного продукта Выявлять соответствие требований заказчиков с существующими продуктами,skills,0.0,Построение процесса continuous integration/continuous delivery;,TfIdf
156,0,156,24310970.0,16302,14.0,Java-разработчик,6.001,Программист,Проверка работоспособности и рефакторинг кода программного обеспечения Рефакторинг и оптимизация программного кода Применять инструментальные средства коллективной работы над программным кодом,skills,0.0,Построение процесса continuous integration/continuous delivery;,TfIdf
222,1,222,25620283.0,24184,14.0,Программист,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Интерфейсы взаимодействия внутренних модулей системы,knowledge,0.2224567418286505,Разрабатывать/внедрять новые модули на основании ТЗ;,TfIdf
220,1,220,25620283.0,24184,14.0,Программист,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Методы и средства сборки модулей и компонент программного обеспечения,knowledge,0.20100164215732075,Разрабатывать/внедрять новые модули на основании ТЗ;,TfIdf
105,1,105,25620283.0,24184,14.0,Программист,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Разработка процедур сборки модулей и компонент программного обеспечения,activities,0.19268473356934004,Разрабатывать/внедрять новые модули на основании ТЗ;,TfIdf
162,1,162,25620283.0,24184,14.0,Программист,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Использовать выбранную среду программирования для разработки процедур интеграции программных модулей,skills,0.17977827510530012,Разрабатывать/внедрять новые модули на основании ТЗ;,TfIdf
161,1,161,25620283.0,24184,14.0,Программист,6.001,Программист,Интеграция программных модулей и компонент и верификация выпусков программного продукта Разработка процедур интеграции программных модулей Писать программный код процедур интеграции программных модулей,skills,0.1786236054875178,Разрабатывать/внедрять новые модули на основании ТЗ;,TfIdf
58,2,58,23880141.0,13619,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий -,requirements_for_practical_experience,0.06949875180561989,Опыт работы с СУБД (SQL).,TfIdf
7,2,7,23880141.0,13619,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Техник-программист,posts,0.05823861430229991,Опыт работы с СУБД (SQL).,TfIdf
32,2,32,23880141.0,13619,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Повышение квалификации,education_and_training_requirements,0.057529143069977653,Опыт работы с СУБД (SQL).,TfIdf
6,2,6,23880141.0,13619,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Младший программист,posts,0.055250011029939816,Опыт работы с СУБД (SQL).,TfIdf
31,2,31,23880141.0,13619,14.0,Java-разработчик,6.001,Программист,Разработка и отладка программного кода Работа с системой контроля версий Среднее профессиональное образование,education_and_training_requirements,0.05442749619921798,Опыт работы с СУБД (SQL).,TfIdf
234,3,234,23572369.0,11843,14.0,Программист С++,6.001,Программист,Разработка требований и проектирование программного обеспечения Анализ требований к программному обеспечению Методологии и технологии проектирования и использования баз данных,knowledge,0.0359574377356945,"Знание технологий WinAPI, включая DLL, Windows Services, COM, WinSock, SQL, Terminal Services;",TfIdf
233,3,233,23572369.0,11843,14.0,Программист С++,6.001,Программист,Разработка требований и проектирование программного обеспечения Анализ требований к программному обеспечению Методологии разработки программного обеспечения и технологии программирования,knowledge,0.0328886930027116,"Знание технологий WinAPI, включая DLL, Windows Services, COM, WinSock, SQL, Terminal Services;",TfIdf
189,3,189,23572369.0,11843,14.0,Программист С++,6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Технологии программирования",knowledge,0.03050447977245227,"Знание технологий WinAPI, включая DLL, Windows Services, COM, WinSock, SQL, Terminal Services;",TfIdf
188,3,188,23572369.0,11843,14.0,Программист С++,6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Методологии и технологии проектирования и использования баз данных",knowledge,0.02779190761151531,"Знание технологий WinAPI, включая DLL, Windows Services, COM, WinSock, SQL, Terminal Services;",TfIdf
209,3,209,23572369.0,11843,14.0,Программист С++,6.001,Программист,"Проверка работоспособности и рефакторинг кода программного обеспечения Разработка тестовых наборов данных Правила, алгоритмы и технологии создания тестовых наборов данных",knowledge,0.027495932581350673,"Знание технологий WinAPI, включая DLL, Windows Services, COM, WinSock, SQL, Terminal Services;",TfIdf
191,4,191,27642679.0,30247,14.0,Программист Delphi (MS SQL),6.001,Программист,"Разработка и отладка программного кода Написание программного кода с использованием языков программирования, определения и манипулирования данными Компоненты программно-технических архитектур, существующие приложения и интерфейсы взаимодействия с ними",knowledge,0.10114690900531949,опыт разработки многопоточных приложений на Delphi,TfIdf
68,4,68,27642679.0,30247,14.0,Программист Delphi (MS SQL),6.001,Программист,Разработка требований и проектирование программного обеспечения Разработка технических спецификаций на программные компоненты и их взаимодействие Практическая работа в области разработки программного обеспечения не менее 3 лет,requirements_for_practical_experience,0.08879819076071381,опыт разработки многопоточных приложений на Delphi,TfIdf
51,4,51,27642679.0,30247,14.0,Программист Delphi (MS SQL),6.001,Программист,Разработка требований и проектирование программного обеспечения Разработка технических спецификаций на программные компоненты и их взаимодействие Высшее образование,education_and_training_requirements,0.08106351910965662,опыт разработки многопоточных приложений на Delphi,TfIdf
52,4,52,27642679.0,30247,14.0,Программист Delphi (MS SQL),6.001,Программист,Разработка требований и проектирование программного обеспечения Разработка технических спецификаций на программные компоненты и их взаимодействие Повышение квалификации,education_and_training_requirements,0.07729993262029543,опыт разработки многопоточных приложений на Delphi,TfIdf
21,4,21,27642679.0,30247,14.0,Программист Delphi (MS SQL),6.001,Программист,Разработка требований и проектирование программного обеспечения Разработка технических спецификаций на программные компоненты и их взаимодействие Ведущий программист,posts,0.07692821725826393,опыт разработки многопоточных приложений на Delphi,TfIdf
