function_id,text,id,part_type_id,ind
1,Младший программист,1,1,0
1,Техник-программист,2,1,1
2,Младший программист,3,1,2
2,Техник-программист,4,1,3
3,Младший программист,5,1,4
3,Техник-программист,6,1,5
4,Младший программист,7,1,6
4,Техник-программист,8,1,7
5,Младший программист,9,1,8
5,Техник-программист,10,1,9
6,Программист,11,1,10
7,Программист,12,1,11
8,Программист,13,1,12
9,Программист,14,1,13
10,Программист,15,1,14
11,Старший программист,16,1,15
11,Инженер-программист,17,1,16
12,Старший программист,18,1,17
12,Инженер-программист,19,1,18
13,Ведущий программист,20,1,19
13,Ведущий инженер-программист,21,1,20
14,Ведущий программист,22,1,21
14,Ведущий инженер-программист,23,1,22
15,Ведущий программист,24,1,23
15,Ведущий инженер-программист,25,1,24
1,Среднее профессиональное образование,26,2,25
1,Повышение квалификации,27,2,26
2,Среднее профессиональное образование,28,2,27
2,Повышение квалификации,29,2,28
3,Среднее профессиональное образование,30,2,29
3,Повышение квалификации,31,2,30
4,Среднее профессиональное образование,32,2,31
4,Повышение квалификации,33,2,32
5,Среднее профессиональное образование,34,2,33
5,Повышение квалификации,35,2,34
6,Среднее профессиональное образование,36,2,35
6,Повышение квалификации,37,2,36
7,Среднее профессиональное образование,38,2,37
7,Повышение квалификации,39,2,38
8,Среднее профессиональное образование,40,2,39
8,Повышение квалификации,41,2,40
9,Среднее профессиональное образование,42,2,41
9,Повышение квалификации,43,2,42
10,Среднее профессиональное образование,44,2,43
10,Повышение квалификации,45,2,44
11,Высшее образование,46,2,45
11,Повышение квалификации,47,2,46
12,Высшее образование,48,2,47
12,Повышение квалификации,49,2,48
13,Высшее образование,50,2,49
13,Повышение квалификации,51,2,50
14,Высшее образование,52,2,51
14,Повышение квалификации,53,2,52
15,Высшее образование,54,2,53
15,Повышение квалификации,55,2,54
1,-,56,3,55
2,-,57,3,56
3,-,58,3,57
4,-,59,3,58
5,-,60,3,59
6,Практическая работа в области разработки программного обеспечения не менее 6 месяцев,61,3,60
7,Практическая работа в области разработки программного обеспечения не менее 6 месяцев,62,3,61
8,Практическая работа в области разработки программного обеспечения не менее 6 месяцев,63,3,62
9,Практическая работа в области разработки программного обеспечения не менее 6 месяцев,64,3,63
10,Практическая работа в области разработки программного обеспечения не менее 6 месяцев,65,3,64
11,Практическая работа в области разработки программного обеспечения не менее 1 года,66,3,65
12,Практическая работа в области разработки программного обеспечения не менее 1 года,67,3,66
13,Практическая работа в области разработки программного обеспечения не менее 3 лет,68,3,67
14,Практическая работа в области разработки программного обеспечения не менее 3 лет,69,3,68
15,Практическая работа в области разработки программного обеспечения не менее 3 лет,70,3,69
1,Составление формализованных описаний решений поставленных задач в соответствии с требованиями технического задания или других принятых в организации нормативных документов,71,4,70
1,Разработка алгоритмов решения поставленных задач в соответствии с требованиями технического задания или других принятых в организации нормативных документов,72,4,71
1,Оценка и согласовывание сроков выполнения поставленных задач,73,4,72
2,Создание программного кода в соответствии с техническим заданием (готовыми спецификациями),74,4,73
2,Оптимизация программного кода с использованием специализированных программных средств,75,4,74
2,Оценка и согласование сроков выполнения поставленных задач,76,4,75
3,"Приведение наименований переменных, функций, классов, структур данных и файлов в соответствие с установленными в организации требованиями",77,4,76
3,Структурирование исходного программного кода в соответствии с установленными в организации требованиями,78,4,77
3,Комментирование и разметка программного кода в соответствии с установленными в организации требованиями,79,4,78
3,Форматирование исходного программного кода в соответствии с установленными в организации требованиями,80,4,79
4,Регистрация изменений исходного текста программного кода в системе контроля версий,81,4,80
4,"Слияние, разделение и сравнение исходных текстов программного кода",82,4,81
4,Сохранение сделанных изменений программного кода в соответствии с регламентом контроля версий,83,4,82
5,Анализ и проверка исходного программного кода,84,4,83
5,Отладка программного кода на уровне программных модулей,85,4,84
5,Отладка программного кода на уровне межмодульных взаимодействий и взаимодействий с окружением,86,4,85
5,Оценка и согласование сроков выполнения поставленных задач,87,4,86
6,Разработка процедуры проверки работоспособности программного обеспечения,88,4,87
6,Разработка процедуры сбора диагностических данных,89,4,88
