vacancy_id,id,text,type_id,ind
22003685,1,"Установка, настройка программного обеспечения;",1,1112
22003685,2,"Работа с периферийными устройствами (профилактика, обслуживание);",1,1113
22003685,3,Прокладка компьютерных сетей;,1,1114
22003685,4,Администрирование серверной системы;,1,1115
22003685,5,Диагностика неисправностей ИС.,1,1116
22003685,6,"Регламентные работы (обновление ПО, контроль состояния систем);",1,1117
22003685,7,Установка прав доступа и контроль использование сетевых ресурсов;,1,1118
22003685,8,"Обеспечение своевременного копирования, архивирования и резервирования данных.",1,1119
22003685,9,"Обеспечение сетевую защиты от несанкционированного доступа к информации, просмотрам или изменениям системных файлов и данных, безопасности межсетевого взаимодействия.",1,1120
22003685,10,"Осуществление антивирусной защиты сервера, сети и рабочих станций.",1,1121
22003685,11,"Стаж работы в должности системного администратора, IT специалиста от 3-х лет;",2,1122
22003685,12,Высшее техническое профильное образование;,2,1123
22003685,13,"Обязательное знание Windows Server, Windows XP/7/8, основы TCP IP, DNS, настройка принтеров и МФУ;",2,1124
22003685,14,"Уровень владения ПК: администратор ПК, базовые знания офисных программ (MS Office, архиваторы, средства просмотра изображений и иных документов);",2,1125
22003685,15,"Знание механизмов работы сетей (адресация, маршрутизация, стек протоколов, сетевые топологии);",2,1126
22003685,16,Навыки диагностики и мелкого ремонта техники;,2,1127
22003685,17,Технический английский язык;,2,1128
22004984,18,Организация и обеспечение бесперебойного функционирования оборудования опорной сети;,1,1129
22004984,19,Мониторинг текущего оборудования состояния технических средств опорной сети с целью предотвращения сбоев;,1,1130
22004984,20,"Участие в работе отдела по установке, монтажу, демонтажу технических средств на технологических площадках компании;",1,1131
22004984,21,"Ведение отчетности по подключению, тестированию, приемке в эксплуатацию оборудования опорной сети;",1,1132
22004984,22,Проведение реконфигурационных и ремонтно-восстановительных работ.,1,1133
22004984,23,Образование Высшее,2,1134
22004984,24,Знание языков Русский-Свободное владение,2,1135
22004984,25,Знание компьютера Эксперт,2,1136
22004984,26,Дополнительные требования  Сетевые технологии LAN/WAN;,2,1137
22004984,27,Модель OSI/ISO;,2,1138
22004984,28,Протоколы маршрутизации и коммутации;,2,1139
22004984,29,"Технологии QOS, VPN, VRF, VLAN;",2,1140
22004984,30,Сетевое оборудование ПД и сопутствующую вычислительную технику;,2,1141
22004984,31,Квалификация: минимум CCNA Cisco;,2,1142
22004984,32,"Навыки поиска и устранения неисправностей на IP сети Опыт конфигурирования сетевого оборудования Cisco (маршрутизаторы, коммутаторы, точки безопасности).",2,1143
22004984,33,Сетевые технологии LAN/WAN;,2,1144
22004984,34,Модель OSI/ISO;,2,1145
22004984,35,Протоколы маршрутизации и коммутации;,2,1146
22004984,36,"Технологии QOS, VPN, VRF, VLAN;",2,1147
22004984,37,Сетевое оборудование ПД и сопутствующую вычислительную технику;,2,1148
22004984,38,Квалификация: минимум CCNA Cisco;,2,1149
22004984,39,Навыки поиска и устранения неисправностей на IP сети,2,1150
22004984,40,"Опыт конфигурирования сетевого оборудования Cisco (маршрутизаторы, коммутаторы, точки безопасности).",2,1151
22006102,41,уметь читать/понимать код на Java + начальные навыки в других языках,2,1153
22006102,42,теория и методы тестирования;,2,1154
22006102,43,знание этапов жизненного цикла ПО;,2,1155
22006102,44,теория построения реляционных баз данных;,2,1156
22006102,45,"принципы работы баг-трекинговых систем - Jazz, ALM, Jira и подобных;",2,1157
22006102,46,основные методы тест-дизайна;,2,1158
22006102,47,"жизненный цикл дефекта, принципы работы с дефектами;",2,1159
22006102,48,"принципы построения архитектуры многомодульных систем, rest api и soap api.2",2,1160
22006102,49,знание основ архитектуры баз данных;,2,1161
22006102,50,основы xml;,2,1162
22006102,51,основы SQL;,2,1163
22006102,52,основы программирования на Java.,2,1164
22006845,53,Доработка функционала существующих проектов ,1,1165
22006845,54, Поддержка существующих проектов,1,1166
22006845,55,Понимание принципов ООП,2,1167
22006845,56,Уверенное владение PHP 5.4+,2,1168
22006845,57,"Опыт использования curl, хотя бы минимальный опыт написания парсеров",2,1169
22006845,58,Опыт разработки на Yii (v1).,2,1170
22006845,59,"SQL на хорошем уровне, умение писать сложные запросы, оптимизация, знание особенностей MySQL",2,1171
22006845,60,"Знание HTML, CSS, JavaScript, jQuery, AJAX, Bootstrap",2,1172
22006845,61,Опыт работы с Git,2,1173
22006845,62,Способность разбираться в чужом коде,2,1174
22007832,63,"Обслуживание, проверка технического состояния устройств СОУЭ.",1,1175
22007832,64,Оформление технологических документов на ремонт данных устройств.,1,1176
22007832,65,Высшее профессиональное (техническое) образование.,2,1177
22007832,66,Стаж работы в должности инженера не менее 3 лет.,2,1178
22010940,67,Конфигурация оборудования и оптимизация сети;,1,1181
22010940,68,Поддержка баз данных в актуальном состоянии;,1,1182
22010940,69,Администрирование и мониторинг серверов и сетевого оборудования.,1,1183
22010940,70,"Образование: высшее, желательно в сфере связи или телекоммуникаций;",2,1184
