vacancy_part_id,vacancy_part_text,profstandard_id
4,Техническое руководство комплексными проектами по информационной безопасности;,17
5,"Формализация требований заказчика, подготовка технических заданий и предложений по построению систем информационной безопасности;",17
6,Проведения обследований и аудитов ИБ по различным нормативным требованиями и стандартам,17
7,"Разработка моделей нарушителя и угроз, проектных решений по системам информационной безопасности;",17
8,Сравнительный анализ функциональных характеристик продуктов по информационной безопасности;,17
9,Разработка организационно-распорядительной документации по системам информационной безопасности.,17
10,"Контролирование исполнения задач командой проекта, координация участников команды проекта.",5
11,Администрирование хода выполнения проекта.,5
12,Выполнение письменных и устных распоряжений Руководителя проектов.,5
13,Проведение расчета затрат на командировочных расходов команды проекта на этапе составления коммерческого предложения.,5
14,"Организация совещаний и встреч, их протоколирование.",5
15,"Ведение входящей/исходящей корреспонденции по проекту, подготовка ее на отправку.",5
16,"Создание и ведение карточки проекта, плана проекта, сметы и иной учёт проектов и корпоративных информационных системах.",5
17,Проводение мониторинга выполнения задач при прохождении внутреннего аудита проекта.,5
22,"Продажа услуги ""охрана"" абонентам Электронного города;",3
23,"Монтаж СКС (прокладка кабелей типа «витая пара», монтажных лотков по зданиям и сооружениям)",20
24,Монтаж распределительных боксов и «разделка» кабелей связи,20
25,Работа с технической/проектной документацией,20
26,"Монтаж слаботочных розеток, коробов, телекоммуникационных шкафов",20
27,Монтаж систем видеонаблюдения,20
28,Прокладка волоконно-оптических линий связи.,20
29,"Расслаивать дисплейные модули Samsung, Apple и других топовых брендов, где это возможно, конечно.",15
30,Оборудование имеется.,15
31,"Менять модульно, шлейфы, разъемы на всей линейке телефонов и планшетов Asus, Apple, Samsung.",15
32,Читать схемотехнику современных устройств,15
33,Менять чипы на всей линейке Apple iphone/ipad,15
34,"Работа с брендами BlackBerry, HTC, Dell, Lenovo, Fly, Alcatel, Vertu, Apple, Asus, Acer, HP, Motorola, Samsung, LG, Canon, Nikon, Sony Ericsson, Nokia, Philips, Toshiba, Sony",15
35,"Настройка, сборка, модернизация, диагностика и выявление неисправностей обслуживаемого оборудования .",10
36,"Настройка межсетевых экранов, маршрутизаторов, хорошее знание структуры TCP/IP.",10
37,"Установка, настройка различного ПО, антивирусных пакетов.",10
38,Настройка периферийных устройств,10
39,"Обработка входящих и исходящих телефонных звонков от коучей, менеджеров банка;",2
40,"Обработка электронной корреспонденции от коучей, менеджеров банка;",2
41,Работа с учётными журналами и внутренними базами данных компаний (учёт обращений и т.п.);,2
42,Взаимодействие со смежными управлениями/департаментами компании;,2
43,Обеспечение бесперебойного процесса приёма обращений;,2
44,Обеспечение оперативности и высокого качества обработки обращений.,2
45,"дизайн и проектирование мобильных приложений (iOS, Android);",9
46,взаимодействие с разработчиками,9
47,доработка новой версии сайта и регулярная доработка обновленных версий во взаимодействии с разработчиками на аутсорсе,16
48,продвижение сайта - организация работ на аутсорсе или внутри офиса:  продвижение в FB и VK‚ Twitter‚ Ok развитие канала YouTube и партнёрской сети каналов SEO-продвижение  ,16
49,продвижение в FB и VK‚ Twitter‚ Ok,16
50,развитие канала YouTube и партнёрской сети каналов,16
51,SEO-продвижение,16
52,работа по e-mail-маркетингу и конверсии пользователей в подписку (руками самостоятельно),16
53,выполнение плана по кол-ву подписчиков‚ повышение конверсии (улучшение юзабилити‚ доработка посадочных страниц‚ проведение A/B тестов),16
54,взаимодействие с редакцией на предмет формирования плана публикаций и наиболее востребованных с точки зрения продвижения тем,16
55,"ремонт МФУ, принтеров и системных блоков, смартфонов и планшетов в рамках авторизаций сервисного центра",15
56,"заказ и прием техники для ремонта со склада СЦ, выдача готовой техники на готовый склад",15
57,заказ ЗЧ требуемых для ремонта по условиям фирм производителей,15
58,отчет ремонта по условиям фирм производителей,15
59,Участие в разработке новых проектов;,"14,19"
60,Развитие и поддержка текущих проектов компании;,"14,19"
61,Управлять процессом внедрения Битрикс24 у клиентов - от базового функционала до и создания сложных аналитических отчетов;,8
62,Проведение презентаций Битрикс24 для клиентов;,8
63,Описание бизнес-процессов компании заказчика;,8
64,"Разработка ТЗ, оценка объемов работы, определение сроков реализации;",8
65,Работа с командой разработчиков от концепции до запуска;,8
66,Участие в планировании работ;,8
67,Функциональное тестирование внедряемых программных продуктов;,8
68,"Разработка методических материалов, руководств пользователей;",8
69,Разработка и проведение курсов обучения;,8
70,Консультирование пользователей.,8
71,Разработка и оформление технических решений и технико-коммерческих предложений по СЭС различного масштаба.,20
72,Участие в предпроектных обследованиях объектов и изыскательских работах,20
73,"Участие в переговорах и встречах с представителями заказчиков по техническим вопросам, в случае возникновения такой необходимости",20
74,Анализ исходно-разрешительной документации,20
75,"Выполнение РД и ПД марок ЭС, ЭМ и ЭО.",20
76,Наработка клиентской базы и развитие продаж по Ростовской области (командировки),3
77,Администрирование серверов на базе Microsoft Server 2003/2008/2012;,10
78,"Администрирование Active Directory, Microsoft Exchange, GPO",10
79,"Осуществление технической и программной поддержки пользователей, консультирование пользователей по вопросам работы локальной сети и программ.",10
80,Установление прав доступа и контроль использования сетевых ресурсов.,10
81,Обеспечение своевременного копирования.,10
82,Архивирования и резервирование данных.,10
83,Принятие мер по восстановлению работоспособности локальной сети при сбоях или выходе из строя сетевого оборудования,10
84,"Мониторинг сети, обеспечение сетевой безопасности.",10
85,"Осуществление антивирусной защиты локальной сети, серверов и рабочих станций.",10
86,Осуществление техподдержки при проведении видеоконференций.,10
96,"активный поиск клиентов, развитие существующей клиентской базы",3
97,"переговоры, презентации, консультирование по продуктам/технологиям компании",3
98,"Отвечает за организацию полного цикла процесса от Поиска данных до Создания Ценности для клиента на базе новых знаний о Клиенте, который включает в себя: поиск данных о клиенте, создание идеи/гипотезы «ценности для клиента» на данных, проверка гипотезы в виде продвижения прототипа на реальных клиентах (выборка), получение отклика от Клиента, в случае Успеха -передача в реализацию и создание нового Продукта или Сервиса",8
99,"Формирует и лидирует команду в составе 6-10 человек, состоящих из Data Scientist, Инженеров по данным, Аналитикам по данным, занимается развитием и вдохновением команды",8
100,"Определяет потребности и осуществляет защиту необходимых бюджетов, используя Венчурный подход к выделению бюджета",8
