id,label_true_k122,title,KMeans_artm_k37,KMeans_tfidf_k37,KMeans_w2v_k37,Birch_artm_k122,Birch_w2v_k38,Birch_tfidf_k268,AffinityPropagation_artm_k660,AffinityPropagation_tfidf_k1749,AffinityPropagation_w2v_k469,x,y,z
22730005,1,Программист 1С,26,33,36,26,16,220,96,1742,73,0.12145542337808853,-0.04634979737373004,0.06800742197326823
23343326,1,Программист 1С,26,33,1,26,16,79,99,1300,66,0.17338848124012257,-0.09699660446171195,0.138798743053255
23038512,1,Инженер-программист,26,8,1,26,18,190,98,300,66,0.13996387383244377,-0.08834568056317882,0.1346242832392589
20747436,1,Ведущий инженер-программист,26,33,1,26,16,18,86,302,66,0.15343962884588572,-0.07027566748267954,0.09421283931237594
24679950,1,Программист 1С,26,26,1,26,18,137,112,287,66,0.17218687110076378,-0.07980618630663687,0.11260635043720518
22154196,1,Программист 1C,26,8,1,26,18,178,102,286,66,0.18128238569748403,-0.0936833976579996,0.12665973742924042
22193246,1,Программист 1C,6,26,1,26,18,137,113,556,66,0.18447833771317815,-0.07018156015409148,0.10150000308942914
23312063,1,Программист 1С 8,26,26,1,26,18,137,103,284,66,0.16047256238693075,-0.08657777820170189,0.12916271080771755
23763676,1,Программист,6,8,1,26,18,220,99,591,66,0.12178942037432314,-0.053187349423829154,0.0700987331276488
23748442,1,1 С программист,6,33,1,26,18,79,99,1100,66,0.1681840426057936,-0.07688841284368052,0.10845796818799996
22663737,1,Программист 1С,6,8,1,26,18,161,98,285,66,0.16569406333660186,-0.06477305999733271,0.07948977215140321
20309730,1,Ведущий специалист Отдела 1С Департамента информационных технологий,26,5,1,26,18,121,87,228,66,0.17544896944086047,-0.09854268352364348,0.1410386903249745
22718746,1,Инженер-программист,6,26,1,26,18,126,112,1511,66,0.17835880247709002,-0.07844192806888647,0.11151386404383028
25367851,1,Ведущий специалист (программист 1 С/разработчик 1С),22,5,1,26,18,121,182,1099,66,0.18862315616382552,-0.12352051724321163,0.17970651510543834
24157696,1,Ведущий программист 1С,6,5,1,26,18,121,520,598,66,0.17949857358414914,-0.09598553134530262,0.13537948624049667
20249549,1,Программист 1С,6,8,1,26,18,177,73,484,66,0.2122981546258951,-0.09620754646886892,0.1436101247444731
25401023,1,Программист 1С,26,5,1,26,18,79,102,1737,66,0.1633872124406217,-0.10029745860274498,0.14638829284656246
20726604,1,Инженер-программист (1С),6,8,1,26,16,225,256,938,66,0.16045165079554624,-0.10122779299880914,0.1547228366044137
23316405,1,Программист 1С,22,5,1,48,18,99,73,288,66,0.15768704452133864,-0.08403671019552787,0.11907088333073906
21910331,1,Программист 1С (8.1-8.3),26,8,1,26,18,191,188,291,66,0.16892349316651267,-0.08619170092605033,0.12660103668065822
24495092,1,Программист 1С,26,8,1,26,18,220,99,224,66,0.22579980319924822,-0.12898070709189535,0.18463000218968575
20530099,1,Программист 1С,26,8,1,26,18,209,87,410,66,0.15515909523697693,-0.08330126851310198,0.11381827474634487
22899934,1,Программист 1С,26,8,1,26,18,227,98,290,66,0.25419724141312205,-0.11779849183100152,0.15708303713821148
23491510,1,Программист 1C,26,8,1,26,18,227,98,290,66,0.25407166079344334,-0.11631587717782407,0.1544701358893016
22912637,1,Программист 1C,6,8,1,26,16,220,247,643,66,0.18502578856510324,-0.05749155068954736,0.08769896237829038
23321853,1,Инженер-программист,26,33,1,26,18,18,107,302,66,0.12348002759457248,-0.06295891943970075,0.08539029033302509
22877096,1,Старший программист 1С,6,8,1,26,18,220,77,331,66,0.15361842054325237,-0.0693044602457298,0.09732813743417212
23264587,1,Программист 1-С,26,26,1,26,18,177,114,625,66,0.17335926893679585,-0.07312055123702428,0.09681857725140129
24796020,1,Программист 1C,26,26,1,26,18,136,103,289,66,0.21814074201646083,-0.11012394920717893,0.15818678799523608
23166842,1,Ведущий программист 1С,22,26,1,26,18,137,124,865,66,0.17532992911643938,-0.0699036168145613,0.09563289358804031
27148640,1,Ведущий программист 1C,26,26,1,26,16,137,81,173,66,0.13559136470979774,-0.05484363834058046,0.0698080739430851
27151290,1,Программист 1С8,26,5,1,26,18,121,99,725,66,0.12926581793372158,-0.07451124551733714,0.10853961034614511
